rank,code,name,industry,uplift_pct,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error,final_price,final_market_cap,final_float_market_cap
83,300342,天银机电,家用电器,441.36,,,,,,,36.0,425035113.0,418798863.0,15301264068.0,15076759068.0,家电零部件Ⅱ,20120726.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",36.0,15301264068.0,15076759068.0
84,688309,恒誉环保,环境保护,435.56,,2026-08-06,68.09,2.5,1.05,55822221.0,68.09,79401269.0,79401269.0,5406432406.21,5406432406.21,环保设备Ⅱ,20200714.0,,68.09,5406432406.21,5406432406.21
85,603618,杭电股份,电气设备,435.54,,2026-08-06,26.65,1.64,7.79,1420873081.0,26.68,691375616.0,691375616.0,18445901434.88,18445901434.88,电网设备,20150217.0,,26.68,18445901434.88,18445901434.88
86,300620,光库科技,通信设备,428.12,,,,,,,262.72,249180545.0,247103188.0,65464712782.40001,64918949551.36001,通信设备,20170310.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",262.72,65464712782.40001,64918949551.36001
87,000973,佛塑科技,塑料,422.77,,2026-08-06,12.47,-0.16,1.08,130124231.6,12.47,2458236766.0,967423171.0,30654212472.02,12063766942.37,塑料,20000525.0,,12.47,30654212472.02,12063766942.37
88,001896,豫能控股,火力发电,422.18,,,,,,,13.07,1525781330.0,1525781330.0,19941961983.100002,19941961983.100002,电力,19980122.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",13.07,19941961983.100002,19941961983.100002
89,301285,鸿日达,元器件,421.96,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
90,300991,创益通,元器件,421.5,,,,,,,27.96,144000000.0,92142000.0,4026240000.0,2576290320.0,其他电子Ⅱ,20210520.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",27.96,4026240000.0,2576290320.0
91,688081,兴图新科,软件服务,420.41,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
92,301550,斯菱智驱,汽车配件,419.64,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
93,300468,四方精创,软件服务,417.46,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
94,600301,华锡有色,小金属,416.49,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,49.06,3.37,3.0,403553665.0,,,,,,,,,49.06,,
95,300499,高澜股份,专用机械,414.89,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,28.27,1.33,2.57,193250653.8,,,,,,,,,28.27,,
96,300385,ST雪浪,环境保护,413.79,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,11.26,-0.35,0.5,16434796.0,,,,,,,,,11.26,,
97,920046,亿能电力,电气设备,413.27,,,,,,,22.41,101150000.0,55927037.0,2266771500.0,1253324899.17,电网设备,20221013.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",22.41,2266771500.0,1253324899.17
98,002851,麦格米特,电气设备,412.86,,2026-08-06,119.63,2.69,3.1,1773902448.87,119.63,585010344.0,491689122.0,69984787452.72,58820769664.86,其他电源设备Ⅱ,20170306.0,,119.63,69984787452.72,58820769664.86
99,603663,三祥新材,小金属,410.97,,2026-08-06,38.78,4.08,3.42,774018905.0,38.79,593570127.0,593166927.0,23024585226.329998,23008945098.329998,化学原料,20160801.0,,38.79,23024585226.329998,23008945098.329998
100,688607,康众医疗,医疗保健,410.3,,2026-08-06,43.39,3.53,2.06,69802374.0,43.39,88129027.0,79329027.0,3823918481.53,3442086481.53,医疗器械,20210201.0,,43.39,3823918481.53,3442086481.53
